Function Name,Exclusive Samples,Exclusive Samples %,Inclusive Samples,Inclusive Samples %,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"MS.Internal.Text.TextProperties.get_FontRenderingEmSize()",1,"0,11",1,"0,11",0,0,0,0,
"MS.Internal.TextFormatting.SimpleRun.get_Height()",1,"0,11",4,"0,42",0,0,0,0,
"MS.Internal.TextFormatting.TextFormatterImp.VerifyTextFormattingArguments(class System.Windows.Media.TextFormatting.TextSource,int32,float64,class System.Windows.Media.TextFormatting.TextParagraphProperties,class System.Windows.Media.TextFormatting.TextRunCache)",1,"0,11",1,"0,11",0,0,0,0,
"MS.Internal.TextFormatting.TextStore.FetchLSRun(int32,valuetype System.Windows.Media.TextFormattingMode,bool,valuetype MS.Internal.TextFormatting.Plsrun&,int32&,int32&)",1,"0,11",1,"0,11",0,0,0,0,
"MS.Internal.TextServicesLoader.get_ServicesInstalled()",1,"0,11",1,"0,11",0,0,0,0,
"MS.Internal.TraceRoutedEvent.get_IsEnabled()",1,"0,11",1,"0,11",0,0,0,0,
"MS.Internal.UIElementHelper.IsVisible(class System.Windows.DependencyObject)",1,"0,11",1,"0,11",0,0,0,0,
"MS.Internal.WeakReferenceListEnumerator.MoveNext()",1,"0,11",3,"0,32",0,0,0,0,
"MS.Internal.Xaml.Context.XamlContextStack`1.get_PreviousFrame()",1,"0,11",1,"0,11",0,0,0,0,
"MS.Internal.Xaml.Context.XamlContextStack`1.PushScope()",1,"0,11",1,"0,11",0,0,0,0,
"MS.Internal.Xaml.Context.XamlFrame.set_Previous(class MS.Internal.Xaml.Context.XamlFrame)",1,"0,11",1,"0,11",0,0,0,0,
"MS.Utility.ArrayItemList`1.Add(!0)",1,"0,11",1,"0,11",0,0,0,0,
"MS.Utility.ArrayItemList`1.Add(!0)",1,"0,11",1,"0,11",0,0,0,0,
"MS.Utility.ArrayItemList`1.Add(!0)",1,"0,11",1,"0,11",0,0,0,0,
"MS.Utility.ArrayItemList`1.Clear()",1,"0,11",1,"0,11",0,0,0,0,
"MS.Utility.FrugalStructList`1.Add(!0)",1,"0,11",2,"0,21",0,0,0,0,
"MS.Utility.FrugalStructList`1.Add(!0)",1,"0,11",2,"0,21",0,0,0,0,
"MS.Utility.FrugalStructList`1.Clear()",1,"0,11",3,"0,32",0,0,0,0,
"MS.Utility.FrugalStructList`1.get_Item(int32)",1,"0,11",1,"0,11",0,0,0,0,
"MS.Utility.FrugalStructList`1.get_Item(int32)",1,"0,11",1,"0,11",0,0,0,0,
"MS.Utility.FrugalStructList`1.IndexOf(!0)",1,"0,11",1,"0,11",0,0,0,0,
"MS.Utility.SingleItemList`1.Add(!0)",1,"0,11",1,"0,11",0,0,0,0,
"MS.Utility.ThreeItemList`1.EntryAt(int32)",1,"0,11",1,"0,11",0,0,0,0,
"MS.Win32.HwndSubclass.DefWndProcWrapper(native int,int32,native int,native int)",1,"0,11",3,"0,32",0,0,0,0,
"MS.Win32.HwndSubclass.DispatcherCallbackOperation(object)",1,"0,11",495,"52,11",0,0,0,0,
"MS.Win32.SafeNativeMethods.QueryPerformanceCounter(int64&)",1,"0,11",1,"0,11",0,0,0,0,
"MS.Win32.UnsafeNativeMethods.GetWindowLong(valuetype System.Runtime.InteropServices.HandleRef,int32)",1,"0,11",1,"0,11",0,0,0,0,
"Mufasa.BackEnd.Designer.Construct.SaveAsBio(string)",1,"0,11",1,"0,11",103,13,103,44,
"Standard.DpiHelper.DeviceRectToLogical(valuetype System.Windows.Rect)",1,"0,11",1,"0,11",0,0,0,0,
"System.Collections.BitArray.Set(int32,bool)",1,"0,11",1,"0,11",0,0,0,0,
"System.Collections.Generic.Comparer`1.get_Default()",1,"0,11",1,"0,11",0,0,0,0,
"System.Collections.Generic.GenericEqualityComparer`1.Equals(!0,!0)",1,"0,11",1,"0,11",0,0,0,0,
"System.Collections.Generic.List`1.Enumerator.MoveNext()",1,"0,11",1,"0,11",0,0,0,0,
"System.Collections.Generic.List`1.get_Item(int32)",1,"0,11",1,"0,11",0,0,0,0,
"System.Collections.Generic.ObjectEqualityComparer`1.Equals(!0,!0)",1,"0,11",1,"0,11",0,0,0,0,
"System.Collections.Generic.Queue`1.Enqueue(!0)",1,"0,11",1,"0,11",0,0,0,0,
"System.Collections.Hashtable.get_SyncRoot()",1,"0,11",1,"0,11",0,0,0,0,
"System.Collections.Hashtable.GetHash(object)",1,"0,11",3,"0,32",0,0,0,0,
"System.Collections.Hashtable.HashtableEnumerator.MoveNext()",1,"0,11",1,"0,11",0,0,0,0,
"System.Collections.Stack.Pop()",1,"0,11",1,"0,11",0,0,0,0,
"System.ComponentModel.Composition.Hosting.ExportProvider.GetExportsCore(string)",1,"0,11",8,"0,84",0,0,0,0,
"System.ComponentModel.Composition.Primitives.ContractBasedImportDefinition.ValidateRequiredMetadata()",1,"0,11",1,"0,11",0,0,0,0,
"System.ComponentModel.Composition.ReflectionModel.ReflectionComposablePartDefinition.get_ExportDefinitionsInternal()",1,"0,11",3,"0,32",0,0,0,0,
"System.Delegate.UnsafeCreateDelegate(class System.RuntimeType,class System.Reflection.RuntimeMethodInfo,object,valuetype System.DelegateBindingFlags)",1,"0,11",1,"0,11",0,0,0,0,
"System.Double.IsNaN(float64)",1,"0,11",1,"0,11",0,0,0,0,
"System.LocalDataStore.GetData(class System.LocalDataStoreSlot)",1,"0,11",1,"0,11",0,0,0,0,
"System.Math.Min(float64,float64)",1,"0,11",1,"0,11",0,0,0,0,
"System.MulticastDelegate.CombineImpl(class System.Delegate)",1,"0,11",1,"0,11",0,0,0,0,
"System.Reflection.AssemblyName..ctor(string)",1,"0,11",1,"0,11",0,0,0,0,
"System.Reflection.Associates.AssignAssociates(valuetype System.Reflection.MetadataImport,int32,class System.RuntimeType,class System.RuntimeType,class System.Reflection.RuntimeMethodInfo&,class System.Reflection.RuntimeMethodInfo&,class System.Reflection.RuntimeMethodInfo&,class System.Reflection.RuntimeMethodInfo&,class System.Reflection.RuntimeMethodInfo&,class System.Reflection.MethodInfo[]&,bool&,valuetype System.Reflection.BindingFlags&)",1,"0,11",2,"0,21",0,0,0,0,
"System.Reflection.RuntimeAssembly.nLoad(class System.Reflection.AssemblyName,string,class System.Security.Policy.Evidence,class System.Reflection.RuntimeAssembly,valuetype System.Threading.StackCrawlMark&,native int,bool,bool,bool)",1,"0,11",1,"0,11",0,0,0,0,
"System.Reflection.RuntimeMethodInfo.IsDefined(class System.Type,bool)",1,"0,11",2,"0,21",0,0,0,0,
"System.Reflection.RuntimePropertyInfo..ctor(int32,class System.RuntimeType,class System.RuntimeType/RuntimeTypeCache,bool&)",1,"0,11",3,"0,32",0,0,0,0,
"System.Reflection.RuntimePropertyInfo.get_Name()",1,"0,11",1,"0,11",0,0,0,0,
"System.Reflection.RuntimePropertyInfo.get_Signature()",1,"0,11",1,"0,11",0,0,0,0,
"System.RuntimeType.get_Assembly()",1,"0,11",1,"0,11",0,0,0,0,
"System.RuntimeType.GetHashCode()",1,"0,11",1,"0,11",0,0,0,0,
"System.RuntimeType.ListBuilder`1.Add(!0)",1,"0,11",1,"0,11",0,0,0,0,
"System.RuntimeType.RuntimeTypeCache.MemberInfoCache`1.GetListByName(char*,int32,uint8*,int32,valuetype System.RuntimeType/MemberListType,valuetype System.RuntimeType/RuntimeTypeCache/CacheType)",1,"0,11",16,"1,68",0,0,0,0,
"System.RuntimeType.RuntimeTypeCache.MemberInfoCache`1.PopulateLiteralFields(valuetype System.RuntimeType/RuntimeTypeCache/Filter,class System.RuntimeType,valuetype System.RuntimeType/ListBuilder`1<class System.Reflection.RuntimeFieldInfo>&)",1,"0,11",1,"0,11",0,0,0,0,
"System.Security.SecurityContext.CurrentlyInDefaultFTSecurityContext(valuetype System.Threading.ExecutionContext/Reader)",1,"0,11",1,"0,11",0,0,0,0,
"System.Security.SecurityRuntime.RevertAssert(valuetype System.Threading.StackCrawlMark&)",1,"0,11",1,"0,11",0,0,0,0,
"System.String.CompareOrdinalHelper(string,string)",1,"0,11",1,"0,11",0,0,0,0,
"System.String.GetHashCode()",1,"0,11",1,"0,11",0,0,0,0,
"System.String.wstrcpy(char*,char*,int32)",1,"0,11",1,"0,11",0,0,0,0,
"System.StubHelpers.StubHelpers.SafeHandleRelease(class System.Runtime.InteropServices.SafeHandle)",1,"0,11",1,"0,11",0,0,0,0,
"System.Threading.LazyInitializer.EnsureInitializedCore(!!0&,class System.Func`1<!!0>)",1,"0,11",1,"0,11",0,0,0,0,
"System.Threading.SynchronizationContext.SetWaitNotificationRequired()",1,"0,11",1,"0,11",0,0,0,0,
"System.Threading.Tasks.TaskCompletionSource`1..ctor(object,valuetype System.Threading.Tasks.TaskCreationOptions)",1,"0,11",1,"0,11",0,0,0,0,
"System.Threading.Tasks.TaskCompletionSource`1.SetCanceled()",1,"0,11",2,"0,21",0,0,0,0,
"System.TimeSpan.op_Addition(valuetype System.TimeSpan,valuetype System.TimeSpan)",1,"0,11",1,"0,11",0,0,0,0,
"System.Windows.Baml2006.SharedStream.Sync()",1,"0,11",1,"0,11",0,0,0,0,
"System.Windows.Controls.Grid.get_VisualChildrenCount()",1,"0,11",1,"0,11",0,0,0,0,
"System.Windows.Controls.PopupControlService.set_LastMouseDirectlyOver(class System.Windows.IInputElement)",1,"0,11",1,"0,11",0,0,0,0,
"System.Windows.Controls.ScrollContentPresenter.ArrangeOverride(valuetype System.Windows.Size)",1,"0,11",13,"1,37",0,0,0,0,
"System.Windows.Controls.ScrollContentPresenter.GetVisualChild(int32)",1,"0,11",1,"0,11",0,0,0,0,
"System.Windows.Controls.TextBlock.OnRender(class System.Windows.Media.DrawingContext)",1,"0,11",13,"1,37",0,0,0,0,
