Type,Root Function Name,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"Caller","[clr.dll]","System.Windows.Input.InputManager.RaiseProcessInputEventHandlers(class System.Windows.Input.ProcessInputEventHandler,class System.Windows.Input.ProcessInputEventArgs)",1,0,"0,11","0,00",
"Caller","[clr.dll]","System.Windows.Input.KeyboardNavigation.ExtractRawUIStateInputReport(class System.Windows.Input.InputEventArgs,class System.Windows.RoutedEvent)",1,1,"0,11","0,11",
"Caller","[clr.dll]","System.Windows.Input.MouseDevice.PreNotifyInput(object,class System.Windows.Input.NotifyInputEventArgs)",1,0,"0,11","0,00",
"Caller","[clr.dll]","System.Windows.Input.RoutedCommand.CriticalCanExecute(object,class System.Windows.IInputElement,bool,bool&)",1,1,"0,11","0,11",
"Caller","[clr.dll]","System.Windows.Input.TextServicesManager.PostProcessInput(object,class System.Windows.Input.ProcessInputEventArgs)",1,1,"0,11","0,11",
"Caller","[clr.dll]","System.Windows.Interop.HwndSource.LayoutFilterMessage(native int,int32,native int,native int,bool&)",1,1,"0,11","0,11",
"Caller","[clr.dll]","System.Windows.Interop.HwndSource.WeakEventPreprocessMessage.OnPreprocessMessage(valuetype System.Windows.Interop.MSG&,bool&)",1,1,"0,11","0,11",
"Caller","[clr.dll]","System.Windows.Media.Animation.AnimationStorage.OnCurrentTimeInvalidated(object,class System.EventArgs)",1,1,"0,11","0,11",
"Caller","[clr.dll]","System.Windows.Media.Animation.DoubleIndependentAnimationStorage.UpdateResourceCore(class System.Windows.Media.Composition.DUCE/Channel)",1,1,"0,11","0,11",
"Caller","[clr.dll]","System.Windows.Media.Animation.ExponentialEase.EaseInCore(float64)",1,0,"0,11","0,00",
"Caller","[clr.dll]","System.Windows.Media.Animation.PrefixSubtreeEnumerator.MoveNext()",1,1,"0,11","0,11",
"Caller","[clr.dll]","System.Windows.Media.MediaContext.CountsToTicks(int64)",1,1,"0,11","0,11",
"Caller","[clr.dll]","System.Windows.Media.MediaContext.System.Windows.Media.Animation.IClock.get_CurrentTime()",1,1,"0,11","0,11",
"Caller","[clr.dll]","System.Windows.Media.Visual.PropagateFlags(class System.Windows.Media.Visual,valuetype System.Windows.Media.VisualFlags,valuetype System.Windows.Media.VisualProxyFlags)",1,1,"0,11","0,11",
"Caller","[clr.dll]","System.Windows.PropertyMetadata.get_DefaultValue()",3,3,"0,32","0,32",
"Caller","[clr.dll]","System.Windows.RoutedEventArgs.set_Source(object)",2,2,"0,21","0,21",
"Caller","[clr.dll]","System.Windows.RoutedEventHandlerInfo.InvokeHandler(object,class System.Windows.RoutedEventArgs)",1,0,"0,11","0,00",
"Caller","[clr.dll]","System.Windows.Threading.Dispatcher.get_CurrentDispatcher()",1,1,"0,11","0,11",
"Caller","[clr.dll]","System.Windows.Threading.Dispatcher.GetMessage(valuetype System.Windows.Interop.MSG&,native int,int32,int32)",1,0,"0,11","0,00",
"Caller","[clr.dll]","System.Windows.Threading.Dispatcher.GetMessagePump()",2,1,"0,21","0,11",
"Caller","[clr.dll]","System.Windows.Threading.Dispatcher.LegacyBeginInvokeImpl(valuetype System.Windows.Threading.DispatcherPriority,class System.Delegate,object,int32)",1,0,"0,11","0,00",
"Caller","[clr.dll]","System.Windows.Threading.Dispatcher.VerifyAccess()",1,0,"0,11","0,00",
"Caller","[clr.dll]","System.Windows.Threading.DispatcherTimer.Stop()",1,1,"0,11","0,11",
"Caller","[clr.dll]","System.Windows.Threading.PriorityQueue`1.InsertItemInPriorityChain(class System.Windows.Threading.PriorityItem`1<!0>,class System.Windows.Threading.PriorityChain`1<!0>,class System.Windows.Threading.PriorityItem`1<!0>)",1,1,"0,11","0,11",
"Caller","[clr.dll]","System.Windows.UIElement.BuildRouteHelper(class System.Windows.DependencyObject,class System.Windows.EventRoute,class System.Windows.RoutedEventArgs)",1,1,"0,11","0,11",
"Caller","[clr.dll]","System.Windows.UIElement.InputHitTest(valuetype System.Windows.Point,class System.Windows.IInputElement&,class System.Windows.IInputElement&,class System.Windows.Media.HitTestResult&)",1,1,"0,11","0,11",
"Caller","[clr.dll]","System.Windows.UIElement.OnPreviewMouseMoveThunk(object,class System.Windows.Input.MouseEventArgs)",1,1,"0,11","0,11",
"Caller","[clr.dll]","System.Windows.UIElement.RaiseTrustedEvent(class System.Windows.RoutedEventArgs)",1,0,"0,11","0,00",
"Caller","[clr.dll]","System.Xaml.XamlObjectWriter.WriteEndMember()",1,0,"0,11","0,00",
"Caller","[clr.dll]","Unknown",4,0,"0,42","0,00",
"Callee","[clr.dll]","[clr.dll]",536,85,"56,42","8,95",
"Callee","[clr.dll]","[KERNEL32.dll]",1,0,"0,11","0,00",
"Callee","[clr.dll]","[KERNELBASE.dll]",1,1,"0,11","0,11",
"Callee","[clr.dll]","[MSCTF.dll]",1,1,"0,11","0,11",
"Callee","[clr.dll]","[MSVCR110_CLR0400.dll]",3,2,"0,32","0,21",
"Callee","[clr.dll]","[ntdll.dll]",3,1,"0,32","0,11",
"Callee","[clr.dll]","[SHLWAPI.dll]",1,0,"0,11","0,00",
"Callee","[clr.dll]","[Unknown]",13,0,"1,37","0,00",
"Callee","[clr.dll]","Bio.Algorithms.MUMmer.MummerDnaAlphabet..cctor()",1,0,"0,11","0,00",
"Callee","[clr.dll]","Bio.AmbiguousDnaAlphabet..cctor()",1,0,"0,11","0,00",
"Callee","[clr.dll]","Bio.DnaAlphabet..cctor()",1,0,"0,11","0,00",
"Callee","[clr.dll]","Bio.IO.AppliedBiosystems.Ab1Parser..ctor()",2,0,"0,21","0,00",
"Callee","[clr.dll]","Bio.IO.SequenceFormatters..cctor()",1,0,"0,11","0,00",
"Callee","[clr.dll]","Bio.IO.SequenceParsers..cctor()",59,0,"6,21","0,00",
"Callee","[clr.dll]","Microsoft.Win32.FileDialog.VistaDialogEvents.MS.Internal.AppModel.IFileDialogEvents.OnFileOk(class MS.Internal.AppModel.IFileDialog)",2,0,"0,21","0,00",
"Callee","[clr.dll]","Mufasa.App.Main()",516,0,"54,32","0,00",
"Callee","[clr.dll]","Mufasa.Pages.Settings.Appearance..ctor()",11,0,"1,16","0,00",
"Callee","[clr.dll]","Mufasa.Pages.SettingsPage..ctor()",1,0,"0,11","0,00",
"Callee","[clr.dll]","System.Runtime.InteropServices.CriticalHandle.Finalize()",1,0,"0,11","0,00",
"Callee","[clr.dll]","System.Windows.Documents.TextStore.RequestLock(valuetype MS.Win32.UnsafeNativeMethods/LockFlags,int32&)",1,0,"0,11","0,00",
"Callee","[clr.dll]","Unknown",3,0,"0,32","0,00",
"Root","[comctl32.dll]","[comctl32.dll]",95,8,"10,00","0,84",
"Caller","[comctl32.dll]","[comctl32.dll]",92,5,"9,68","0,53",
"Caller","[comctl32.dll]","[explorerframe.dll]",69,0,"7,26","0,00",
"Caller","[comctl32.dll]","[ntdll.dll]",2,0,"0,21","0,00",
"Caller","[comctl32.dll]","[SearchFolder.dll]",1,0,"0,11","0,00",
"Caller","[comctl32.dll]","[Unknown]",8,1,"0,84","0,11",
"Caller","[comctl32.dll]","[USER32.dll]",86,2,"9,05","0,21",
"Caller","[comctl32.dll]","Unknown",1,0,"0,11","0,00",
"Callee","[comctl32.dll]","[comctl32.dll]",92,5,"9,68","0,53",
"Callee","[comctl32.dll]","[explorerframe.dll]",70,0,"7,37","0,00",
"Callee","[comctl32.dll]","[GDI32.dll]",1,1,"0,11","0,11",
"Callee","[comctl32.dll]","[msvcrt.dll]",1,1,"0,11","0,11",
"Callee","[comctl32.dll]","[ntdll.dll]",3,3,"0,32","0,32",
"Callee","[comctl32.dll]","[SHLWAPI.dll]",1,0,"0,11","0,00",
"Callee","[comctl32.dll]","[Unknown]",16,0,"1,68","0,00",
"Callee","[comctl32.dll]","[USER32.dll]",82,2,"8,63","0,21",
"Root","[comdlg32.dll]","[comdlg32.dll]",99,1,"10,42","0,11",
"Caller","[comdlg32.dll]","[comdlg32.dll]",17,1,"1,79","0,11",
"Caller","[comdlg32.dll]","[explorerframe.dll]",1,0,"0,11","0,00",
"Caller","[comdlg32.dll]","[SHLWAPI.dll]",1,0,"0,11","0,00",
"Caller","[comdlg32.dll]","[Unknown]",73,0,"7,68","0,00",
"Caller","[comdlg32.dll]","[USER32.dll]",15,0,"1,58","0,00",
"Caller","[comdlg32.dll]","Microsoft.Win32.FileDialog.RunVistaDialog(native int)",7,0,"0,74","0,00",
"Caller","[comdlg32.dll]","Unknown",16,0,"1,68","0,00",
"Callee","[comdlg32.dll]","[comdlg32.dll]",17,1,"1,79","0,11",
"Callee","[comdlg32.dll]","[explorerframe.dll]",3,0,"0,32","0,00",
"Callee","[comdlg32.dll]","[ole32.dll]",4,0,"0,42","0,00",
"Callee","[comdlg32.dll]","[SHLWAPI.dll]",1,0,"0,11","0,00",
"Callee","[comdlg32.dll]","[Unknown]",12,0,"1,26","0,00",
"Callee","[comdlg32.dll]","[USER32.dll]",92,0,"9,68","0,00",
"Root","[dtsh.dll]","[dtsh.dll]",4,0,"0,42","0,00",
"Caller","[dtsh.dll]","[dtsh.dll]",4,0,"0,42","0,00",
"Caller","[dtsh.dll]","[NetworkExplorer.dll]",3,0,"0,32","0,00",
"Caller","[dtsh.dll]","[NetworkItemFactory.dll]",1,0,"0,11","0,00",
"Callee","[dtsh.dll]","[dtsh.dll]",4,0,"0,42","0,00",
"Callee","[dtsh.dll]","[FirewallAPI.dll]",3,0,"0,32","0,00",
"Callee","[dtsh.dll]","[ole32.dll]",1,0,"0,11","0,00",
"Root","[DUI70.dll]","[DUI70.dll]",70,29,"7,37","3,05",
"Caller","[DUI70.dll]","[DUI70.dll]",61,28,"6,42","2,95",
"Caller","[DUI70.dll]","[DUser.dll]",36,1,"3,79","0,11",
"Caller","[DUI70.dll]","[explorerframe.dll]",48,0,"5,05","0,00",
"Caller","[DUI70.dll]","[ntdll.dll]",7,0,"0,74","0,00",
"Caller","[DUI70.dll]","[Unknown]",8,0,"0,84","0,00",
"Caller","[DUI70.dll]","Unknown",2,0,"0,21","0,00",
"Callee","[DUI70.dll]","[DUI70.dll]",61,28,"6,42","2,95",
"Callee","[DUI70.dll]","[DUser.dll]",10,0,"1,05","0,00",
"Callee","[DUI70.dll]","[explorerframe.dll]",42,2,"4,42","0,21",
"Callee","[DUI70.dll]","[KERNELBASE.dll]",2,0,"0,21","0,00",
"Callee","[DUI70.dll]","[msvcrt.dll]",1,1,"0,11","0,11",
"Callee","[DUI70.dll]","[ntdll.dll]",4,1,"0,42","0,11",
"Callee","[DUI70.dll]","[Unknown]",1,0,"0,11","0,00",
"Callee","[DUI70.dll]","[USER32.dll]",21,1,"2,21","0,11",
"Root","[DUser.dll]","[DUser.dll]",74,5,"7,79","0,53",
"Caller","[DUser.dll]","[DUI70.dll]",10,0,"1,05","0,00",
"Caller","[DUser.dll]","[DUser.dll]",43,5,"4,53","0,53",
"Caller","[DUser.dll]","[explorerframe.dll]",1,0,"0,11","0,00",
"Caller","[DUser.dll]","[ntdll.dll]",1,0,"0,11","0,00",
"Caller","[DUser.dll]","[USER32.dll]",60,0,"6,32","0,00",
"Caller","[DUser.dll]","Unknown",6,0,"0,63","0,00",
"Callee","[DUser.dll]","[DUI70.dll]",36,1,"3,79","0,11",
"Callee","[DUser.dll]","[DUser.dll]",43,5,"4,53","0,53",
"Callee","[DUser.dll]","[KERNELBASE.dll]",2,2,"0,21","0,21",
"Callee","[DUser.dll]","[ntdll.dll]",2,0,"0,21","0,00",
"Callee","[DUser.dll]","[USER32.dll]",36,1,"3,79","0,11",
"Root","[explorerframe.dll]","[explorerframe.dll]",110,3,"11,58","0,32",
"Caller","[explorerframe.dll]","[comctl32.dll]",70,0,"7,37","0,00",
"Caller","[explorerframe.dll]","[comdlg32.dll]",3,0,"0,32","0,00",
"Caller","[explorerframe.dll]","[DUI70.dll]",42,2,"4,42","0,21",
"Caller","[explorerframe.dll]","[explorerframe.dll]",106,1,"11,16","0,11",
"Caller","[explorerframe.dll]","[SHLWAPI.dll]",2,0,"0,21","0,00",
"Caller","[explorerframe.dll]","[Unknown]",20,0,"2,11","0,00",
"Caller","[explorerframe.dll]","[USER32.dll]",43,0,"4,53","0,00",
"Caller","[explorerframe.dll]","Unknown",2,0,"0,21","0,00",
"Callee","[explorerframe.dll]","[comctl32.dll]",69,0,"7,26","0,00",
"Callee","[explorerframe.dll]","[comdlg32.dll]",1,0,"0,11","0,00",
"Callee","[explorerframe.dll]","[DUI70.dll]",48,0,"5,05","0,00",
"Callee","[explorerframe.dll]","[DUser.dll]",1,0,"0,11","0,00",
"Callee","[explorerframe.dll]","[explorerframe.dll]",106,1,"11,16","0,11",
"Callee","[explorerframe.dll]","[KERNEL32.dll]",1,0,"0,11","0,00",
"Callee","[explorerframe.dll]","[KERNELBASE.dll]",1,1,"0,11","0,11",
"Callee","[explorerframe.dll]","[ole32.dll]",2,0,"0,21","0,00",
"Callee","[explorerframe.dll]","[PROPSYS.dll]",1,0,"0,11","0,00",
"Callee","[explorerframe.dll]","[SHLWAPI.dll]",3,0,"0,32","0,00",
"Callee","[explorerframe.dll]","[Unknown]",27,0,"2,84","0,00",
"Callee","[explorerframe.dll]","[USER32.dll]",14,1,"1,47","0,11",
"Root","[fdWNet.dll]","[fdWNet.dll]",1,0,"0,11","0,00",
"Caller","[fdWNet.dll]","[fdWNet.dll]",1,0,"0,11","0,00",
"Caller","[fdWNet.dll]","[ntdll.dll]",1,0,"0,11","0,00",
"Callee","[fdWNet.dll]","[fdWNet.dll]",1,0,"0,11","0,00",
"Callee","[fdWNet.dll]","[MPR.dll]",1,0,"0,11","0,00",
"Root","[FirewallAPI.dll]","[FirewallAPI.dll]",5,0,"0,53","0,00",
"Caller","[FirewallAPI.dll]","[dtsh.dll]",3,0,"0,32","0,00",
"Caller","[FirewallAPI.dll]","[FirewallAPI.dll]",5,0,"0,53","0,00",
"Caller","[FirewallAPI.dll]","[ntdll.dll]",1,0,"0,11","0,00",
"Caller","[FirewallAPI.dll]","[Unknown]",1,0,"0,11","0,00",
"Callee","[FirewallAPI.dll]","[ADVAPI32.dll]",2,0,"0,21","0,00",
"Callee","[FirewallAPI.dll]","[FirewallAPI.dll]",5,0,"0,53","0,00",
"Callee","[FirewallAPI.dll]","[RPCRT4.dll]",2,0,"0,21","0,00",
"Callee","[FirewallAPI.dll]","[USER32.dll]",1,0,"0,11","0,00",
"Root","[FunDisc.dll]","[FunDisc.dll]",2,0,"0,21","0,00",
"Caller","[FunDisc.dll]","[ole32.dll]",1,0,"0,11","0,00",
"Callee","[FunDisc.dll]","[KERNEL32.dll]",1,1,"0,11","0,11",
"Callee","[FunDisc.dll]","[NetworkItemFactory.dll]",2,0,"0,21","0,00",
"Root","[GDI32.dll]","[GDI32.dll]",7,7,"0,74","0,74",
"Caller","[GDI32.dll]","[comctl32.dll]",1,1,"0,11","0,11",
"Caller","[GDI32.dll]","[GDI32.dll]",2,2,"0,21","0,21",
"Caller","[GDI32.dll]","[LPK.dll]",1,0,"0,11","0,00",
"Caller","[GDI32.dll]","[Unknown]",2,2,"0,21","0,21",
"Caller","[GDI32.dll]","[USER32.dll]",2,1,"0,21","0,11",
"Caller","[GDI32.dll]","[USP10.dll]",1,1,"0,11","0,11",
"Callee","[GDI32.dll]","[GDI32.dll]",2,2,"0,21","0,21",
"Root","[IMM32.DLL]","[IMM32.DLL]",1,0,"0,11","0,00",
"Caller","[IMM32.DLL]","[IMM32.DLL]",1,0,"0,11","0,00",
"Caller","[IMM32.DLL]","[USER32.dll]",1,0,"0,11","0,00",
"Callee","[IMM32.DLL]","[IMM32.DLL]",1,0,"0,11","0,00",
"Callee","[IMM32.DLL]","[ntdll.dll]",1,1,"0,11","0,11",
"Root","[KERNEL32.dll]","[KERNEL32.dll]",75,18,"7,89","1,89",
"Caller","[KERNEL32.dll]","[clr.dll]",1,0,"0,11","0,00",
"Caller","[KERNEL32.dll]","[explorerframe.dll]",1,0,"0,11","0,00",
"Caller","[KERNEL32.dll]","[FunDisc.dll]",1,1,"0,11","0,11",
"Caller","[KERNEL32.dll]","[KERNEL32.dll]",19,9,"2,00","0,95",
"Caller","[KERNEL32.dll]","[KERNELBASE.dll]",7,1,"0,74","0,11",
"Caller","[KERNEL32.dll]","[ntdll.dll]",1,0,"0,11","0,00",
"Caller","[KERNEL32.dll]","[ole32.dll]",2,0,"0,21","0,00",
"Caller","[KERNEL32.dll]","[PROPSYS.dll]",1,1,"0,11","0,11",
"Caller","[KERNEL32.dll]","[SHLWAPI.dll]",9,1,"0,95","0,11",
