Function Name,Exclusive Samples,Exclusive Samples %,Instruction Address,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"[comdlg32.dll]",1,"0,11",0x76B8DDE4,0,0,0,0,
"[DUI70.dll]",1,"0,11",0x6B06885E,0,0,0,0,
"[DUI70.dll]",1,"0,11",0x6B073BEE,0,0,0,0,
"[DUI70.dll]",1,"0,11",0x6B0908C3,0,0,0,0,
"[DUI70.dll]",1,"0,11",0x6B0908E8,0,0,0,0,
"[DUser.dll]",1,"0,11",0x6B0F1717,0,0,0,0,
"[DUser.dll]",1,"0,11",0x6B0F2A9E,0,0,0,0,
"[DUser.dll]",1,"0,11",0x6B0F2AB7,0,0,0,0,
"[DUser.dll]",1,"0,11",0x6B0F4791,0,0,0,0,
"[DUser.dll]",1,"0,11",0x6B0F6711,0,0,0,0,
"[explorerframe.dll]",1,"0,11",0x6ACC353F,0,0,0,0,
"[explorerframe.dll]",1,"0,11",0x6ACC367B,0,0,0,0,
"[explorerframe.dll]",1,"0,11",0x6ACC7787,0,0,0,0,
"[explorerframe.dll]",1,"0,11",0x6ACDFEF4,0,0,0,0,
"[explorerframe.dll]",1,"0,11",0x6ACF2380,0,0,0,0,
"[GDI32.dll]",1,"0,11",0x75474FFD,0,0,0,0,
"[GDI32.dll]",1,"0,11",0x754755D5,0,0,0,0,
"[GDI32.dll]",1,"0,11",0x75475F1D,0,0,0,0,
"[GDI32.dll]",1,"0,11",0x75477D67,0,0,0,0,
"[GDI32.dll]",1,"0,11",0x75478316,0,0,0,0,
"[GDI32.dll]",1,"0,11",0x75478B83,0,0,0,0,
"[GDI32.dll]",1,"0,11",0x7547AE50,0,0,0,0,
"[IMM32.DLL]",1,"0,11",0x75573ADB,0,0,0,0,
"[KERNEL32.dll]",1,"0,11",0x759F1386,0,0,0,0,
"[KERNEL32.dll]",1,"0,11",0x759F13D6,0,0,0,0,
"[KERNEL32.dll]",1,"0,11",0x759F14AD,0,0,0,0,
"[KERNEL32.dll]",1,"0,11",0x759F1FF5,0,0,0,0,
"[KERNEL32.dll]",1,"0,11",0x759F2402,0,0,0,0,
"[KERNEL32.dll]",1,"0,11",0x759F37FF,0,0,0,0,
"[KERNEL32.dll]",1,"0,11",0x759F57FB,0,0,0,0,
"[KERNEL32.dll]",1,"0,11",0x759F7EB1,0,0,0,0,
"[KERNELBASE.dll]",1,"0,11",0x75726A71,0,0,0,0,
"[KERNELBASE.dll]",1,"0,11",0x75728FB0,0,0,0,0,
"[KERNELBASE.dll]",1,"0,11",0x7572AF6C,0,0,0,0,
"[KERNELBASE.dll]",1,"0,11",0x75730771,0,0,0,0,
"[KERNELBASE.dll]",1,"0,11",0x75730DD4,0,0,0,0,
"[KERNELBASE.dll]",1,"0,11",0x7573149D,0,0,0,0,
"[KERNELBASE.dll]",1,"0,11",0x75733BE3,0,0,0,0,
"[KERNELBASE.dll]",1,"0,11",0x75733C42,0,0,0,0,
"[KERNELBASE.dll]",1,"0,11",0x75734AB0,0,0,0,0,
"[KERNELBASE.dll]",1,"0,11",0x7573CA01,0,0,0,0,
"[KERNELBASE.dll]",1,"0,11",0x7574380A,0,0,0,0,
"[KERNELBASE.dll]",1,"0,11",0x75756FDD,0,0,0,0,
"[mscorlib.dll]",1,"0,11",0x6F891342,0,0,0,0,
"[MSCTF.dll]",1,"0,11",0x755C3FCA,0,0,0,0,
"[MSCTF.dll]",1,"0,11",0x755C3FD1,0,0,0,0,
"[MSCTF.dll]",1,"0,11",0x755C449D,0,0,0,0,
"[MSVCR110_CLR0400.dll]",1,"0,11",0x70521351,0,0,0,0,
"[MSVCR110_CLR0400.dll]",1,"0,11",0x7052257C,0,0,0,0,
"[MSVCR110_CLR0400.dll]",1,"0,11",0x705359D3,0,0,0,0,
"[MSVCR110_CLR0400.dll]",1,"0,11",0x70541510,0,0,0,0,
"[msvcrt.dll]",1,"0,11",0x75DA9790,0,0,0,0,
"[msvcrt.dll]",1,"0,11",0x75DA9822,0,0,0,0,
"[msvcrt.dll]",1,"0,11",0x75DA9BEA,0,0,0,0,
"[msvcrt.dll]",1,"0,11",0x75DA9C39,0,0,0,0,
"[msvcrt.dll]",1,"0,11",0x75DAA0CE,0,0,0,0,
"[msvcrt.dll]",1,"0,11",0x75DAAA46,0,0,0,0,
"[msvcrt.dll]",1,"0,11",0x75DAABA6,0,0,0,0,
"[msvcrt.dll]",1,"0,11",0x75DAAFF6,0,0,0,0,
"[msvcrt.dll]",1,"0,11",0x75DABBE6,0,0,0,0,
"[msvcrt.dll]",1,"0,11",0x75DAD838,0,0,0,0,
"[msvcrt.dll]",1,"0,11",0x75DB7977,0,0,0,0,
"[ntdll.dll]",1,"0,11",0x778422E3,0,0,0,0,
"[ntdll.dll]",1,"0,11",0x778422FF,0,0,0,0,
"[ntdll.dll]",1,"0,11",0x77842344,0,0,0,0,
"[ntdll.dll]",1,"0,11",0x77842470,0,0,0,0,
"[ntdll.dll]",1,"0,11",0x7784249F,0,0,0,0,
"[ntdll.dll]",1,"0,11",0x7784E023,0,0,0,0,
"[ntdll.dll]",1,"0,11",0x7784E069,0,0,0,0,
"[ntdll.dll]",1,"0,11",0x7784E0B0,0,0,0,0,
"[ntdll.dll]",1,"0,11",0x7784E0D8,0,0,0,0,
"[ntdll.dll]",1,"0,11",0x7784E275,0,0,0,0,
"[ntdll.dll]",1,"0,11",0x7784E38C,0,0,0,0,
"[ntdll.dll]",1,"0,11",0x7784ED54,0,0,0,0,
"[ntdll.dll]",1,"0,11",0x7784F1AA,0,0,0,0,
"[ntdll.dll]",1,"0,11",0x77852540,0,0,0,0,
"[ntdll.dll]",1,"0,11",0x77852C9C,0,0,0,0,
"[ntdll.dll]",1,"0,11",0x778534A2,0,0,0,0,
"[ntdll.dll]",1,"0,11",0x77857DD0,0,0,0,0,
"[ntdll.dll]",1,"0,11",0x7785B2B5,0,0,0,0,
"[ntdll.dll]",1,"0,11",0x77861788,0,0,0,0,
"[ntdll.dll]",1,"0,11",0x77862003,0,0,0,0,
"[ntdll.dll]",1,"0,11",0x7787D2FA,0,0,0,0,
"[ntdll.dll]",1,"0,11",0x778848E7,0,0,0,0,
"[ntshrui.dll]",1,"0,11",0x6BF249FF,0,0,0,0,
"[ole32.dll]",1,"0,11",0x7730625C,0,0,0,0,
"[ole32.dll]",1,"0,11",0x77306D4C,0,0,0,0,
"[ole32.dll]",1,"0,11",0x77306DF9,0,0,0,0,
"[ole32.dll]",1,"0,11",0x77306FBA,0,0,0,0,
"[ole32.dll]",1,"0,11",0x77309D3F,0,0,0,0,
"[ole32.dll]",1,"0,11",0x7730EA43,0,0,0,0,
"[ole32.dll]",1,"0,11",0x77316F54,0,0,0,0,
"[ole32.dll]",1,"0,11",0x773FD21E,0,0,0,0,
"[ole32.dll]",1,"0,11",0x773FD380,0,0,0,0,
"[PresentationCore.dll]",1,"0,11",0x61B3C015,0,0,0,0,
"[PresentationCore.dll]",1,"0,11",0x61BFA7FD,0,0,0,0,
"[PROPSYS.dll]",1,"0,11",0x6DB773B2,0,0,0,0,
"[PROPSYS.dll]",1,"0,11",0x6DB7CA73,0,0,0,0,
"[PROPSYS.dll]",1,"0,11",0x6DB7D244,0,0,0,0,
"[PROPSYS.dll]",1,"0,11",0x6DB7ECE2,0,0,0,0,
"[RPCRT4.dll]",1,"0,11",0x75B2F4EB,0,0,0,0,
"[RPCRT4.dll]",1,"0,11",0x75B33202,0,0,0,0,
"[RPCRT4.dll]",1,"0,11",0x75B44003,0,0,0,0,
"[RPCRT4.dll]",1,"0,11",0x75BC015A,0,0,0,0,
"[RPCRT4.dll]",1,"0,11",0x75BC016A,0,0,0,0,
"[SamplingRuntime.dll]",1,"0,11",0x0FA15FA7,0,0,0,0,
"[SHLWAPI.dll]",1,"0,11",0x75512D26,0,0,0,0,
"[SHLWAPI.dll]",1,"0,11",0x755142B6,0,0,0,0,
"[SHLWAPI.dll]",1,"0,11",0x75514D7B,0,0,0,0,
"[SHLWAPI.dll]",1,"0,11",0x75518977,0,0,0,0,
"[SHLWAPI.dll]",1,"0,11",0x7551898B,0,0,0,0,
"[SHLWAPI.dll]",1,"0,11",0x75518CF4,0,0,0,0,
"[SHLWAPI.dll]",1,"0,11",0x7551A1E6,0,0,0,0,
"[SHLWAPI.dll]",1,"0,11",0x7551B162,0,0,0,0,
"[SHLWAPI.dll]",1,"0,11",0x7551C514,0,0,0,0,
"[SHLWAPI.dll]",1,"0,11",0x7551F34F,0,0,0,0,
"[Unknown]",1,"0,11",0x00162503,0,0,0,0,
"[Unknown]",1,"0,11",0x00590010,0,0,0,0,
"[Unknown]",1,"0,11",0x005931EC,0,0,0,0,
"[Unknown]",1,"0,11",0x0BC90010,0,0,0,0,
"[Unknown]",1,"0,11",0x0C052808,0,0,0,0,
"[Unknown]",1,"0,11",0x0EA70FC4,0,0,0,0,
"[Unknown]",1,"0,11",0x0EC25A24,0,0,0,0,
"[Unknown]",1,"0,11",0x6B6B6034,0,0,0,0,
"[Unknown]",1,"0,11",0x6B6EFB83,0,0,0,0,
"[Unknown]",1,"0,11",0x6B70BAE4,0,0,0,0,
"[Unknown]",1,"0,11",0x6B70EB54,0,0,0,0,
"[Unknown]",1,"0,11",0x6B70EFBE,0,0,0,0,
"[Unknown]",1,"0,11",0x6B70EFD5,0,0,0,0,
"[Unknown]",1,"0,11",0x6D390BCD,0,0,0,0,
"[Unknown]",1,"0,11",0x6D39885F,0,0,0,0,
"[Unknown]",1,"0,11",0x6F4128DF,0,0,0,0,
"[Unknown]",1,"0,11",0x6F417680,0,0,0,0,
"[Unknown]",1,"0,11",0x6F4182C3,0,0,0,0,
"[Unknown]",1,"0,11",0x6F41ED40,0,0,0,0,
"[Unknown]",1,"0,11",0x6F42009A,0,0,0,0,
"[Unknown]",1,"0,11",0x6F420617,0,0,0,0,
"[Unknown]",1,"0,11",0x6F422DB1,0,0,0,0,
"[Unknown]",1,"0,11",0x6F423AA6,0,0,0,0,
"[Unknown]",1,"0,11",0x6F4242C2,0,0,0,0,
"[Unknown]",1,"0,11",0x6F42D7A9,0,0,0,0,
"[Unknown]",1,"0,11",0x73BC1583,0,0,0,0,
"[Unknown]",1,"0,11",0x73BF96F0,0,0,0,0,
"[Unknown]",1,"0,11",0x75F63ADC,0,0,0,0,
"[Unknown]",1,"0,11",0x75F690B2,0,0,0,0,
"[Unknown]",1,"0,11",0x75F867E1,0,0,0,0,
"[Unknown]",1,"0,11",0x75F88D70,0,0,0,0,
"[Unknown]",1,"0,11",0x75F8FFBA,0,0,0,0,
"[Unknown]",1,"0,11",0x75F92F6C,0,0,0,0,
"[Unknown]",1,"0,11",0x75FAB4AC,0,0,0,0,
"[Unknown]",1,"0,11",0x75FACA69,0,0,0,0,
"[Unknown]",1,"0,11",0x75FC6C85,0,0,0,0,
"[Unknown]",1,"0,11",0x75FCC36B,0,0,0,0,
"[Unknown]",1,"0,11",0x75FD2664,0,0,0,0,
"[Unknown]",1,"0,11",0x75FD997C,0,0,0,0,
"[Unknown]",1,"0,11",0x76049074,0,0,0,0,
"[Unknown]",1,"0,11",0x7604FC0D,0,0,0,0,
"[Unknown]",1,"0,11",0x760ABEFB,0,0,0,0,
"[Unknown]",1,"0,11",0x760C8012,0,0,0,0,
"[Unknown]",1,"0,11",0x760F7951,0,0,0,0,
"[Unknown]",1,"0,11",0x761C64E6,0,0,0,0,
"[USER32.dll]",1,"0,11",0x7719616A,0,0,0,0,
"[USER32.dll]",1,"0,11",0x7719967C,0,0,0,0,
"[WindowsBase.dll]",1,"0,11",0x6A50BBB7,0,0,0,0,
"[WindowsBase.dll]",1,"0,11",0x6A50BBD4,0,0,0,0,
"[WindowsBase.dll]",1,"0,11",0x6A50D310,0,0,0,0,
"Bio.IO.AppliedBiosystems.Ab1Parser..ctor()",1,"0,11",0x005A8FBA,0,0,0,0,
"Bio.IO.FastA.FastAParser.<Parse>d__0.MoveNext()",1,"0,11",0x005AF20E,0,0,0,0,
"Bio.Registration.RegisteredAddIn.GetComposedInstancesFromAssemblyPath(string,string,string)",1,"0,11",0x005A8A14,0,0,0,0,
"FirstFloor.ModernUI.Presentation.RelayCommand.OnExecute(object)",1,"0,11",0x0BC9200B,0,0,0,0,
"MS.Internal.Classification.CharAttributeOf(int32)",1,"0,11",0x61BA0747,0,0,0,0,
"MS.Internal.Classification.GetUnicodeClassUTF16(char)",1,"0,11",0x61BA06BF,0,0,0,0,
"MS.Internal.CopyOnWriteList.get_List()",1,"0,11",0x6A4EE7DB,0,0,0,0,
