Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"Standard.DpiHelper.DeviceRectToLogical(valuetype System.Windows.Rect)",1,1,"0,11","0,11",
"System.Array.BinarySearch(!!0[],int32,int32,!!0,class System.Collections.Generic.IComparer`1<!!0>)",3,1,"0,32","0,11",
"System.Collections.BitArray.Set(int32,bool)",1,1,"0,11","0,11",
"System.Collections.Generic.Comparer`1.get_Default()",1,1,"0,11","0,11",
"System.Collections.Generic.GenericEqualityComparer`1.Equals(!0,!0)",1,1,"0,11","0,11",
"System.Collections.Generic.List`1.Enumerator.MoveNext()",1,1,"0,11","0,11",
"System.Collections.Generic.List`1.get_Item(int32)",1,1,"0,11","0,11",
"System.Collections.Generic.ObjectEqualityComparer`1.Equals(!0,!0)",1,1,"0,11","0,11",
"System.Collections.Generic.Queue`1.Enqueue(!0)",1,1,"0,11","0,11",
"System.Collections.Hashtable.get_SyncRoot()",1,1,"0,11","0,11",
"System.Collections.Hashtable.GetHash(object)",3,1,"0,32","0,11",
"System.Collections.Hashtable.HashtableEnumerator.MoveNext()",1,1,"0,11","0,11",
"System.Collections.Stack.Pop()",1,1,"0,11","0,11",
"System.Double.IsNaN(float64)",1,1,"0,11","0,11",
"System.IO.UnmanagedMemoryStream.ReadByte()",2,1,"0,21","0,11",
"System.LocalDataStore.GetData(class System.LocalDataStoreSlot)",1,1,"0,11","0,11",
"System.Math.Min(float64,float64)",1,1,"0,11","0,11",
"System.MulticastDelegate.CombineImpl(class System.Delegate)",1,1,"0,11","0,11",
"System.MulticastDelegate.GetInvocationList()",12,1,"1,26","0,11",
"System.Reflection.RuntimeMethodInfo.IsDefined(class System.Type,bool)",2,1,"0,21","0,11",
"System.Reflection.RuntimePropertyInfo.get_Name()",1,1,"0,11","0,11",
"System.String.CompareOrdinalHelper(string,string)",1,1,"0,11","0,11",
"System.String.GetHashCode()",1,1,"0,11","0,11",
"System.String.wstrcpy(char*,char*,int32)",1,1,"0,11","0,11",
"System.Threading.ExecutionContext.Capture(valuetype System.Threading.StackCrawlMark&,valuetype System.Threading.ExecutionContext/CaptureOptions)",2,1,"0,21","0,11",
"System.Threading.Tasks.TaskCompletionSource`1.SetCanceled()",2,1,"0,21","0,11",
"System.TimeSpan.op_Addition(valuetype System.TimeSpan,valuetype System.TimeSpan)",1,1,"0,11","0,11",
"System.Windows.Baml2006.SharedStream.Sync()",1,1,"0,11","0,11",
"System.Windows.Controls.Grid.get_VisualChildrenCount()",1,1,"0,11","0,11",
"System.Windows.Controls.PopupControlService.set_LastMouseDirectlyOver(class System.Windows.IInputElement)",1,1,"0,11","0,11",
"System.Windows.Controls.ScrollContentPresenter.GetVisualChild(int32)",1,1,"0,11","0,11",
"System.Windows.Controls.TextBlock.OnRender(class System.Windows.Media.DrawingContext)",13,1,"1,37","0,11",
"System.Windows.DependencyObject.CheckEntryIndex(valuetype System.Windows.EntryIndex,int32)",1,1,"0,11","0,11",
"System.Windows.DependencyObject.get_DependencyObjectType()",3,1,"0,32","0,11",
"System.Windows.DependencyObject.get_InheritanceParent()",1,1,"0,11","0,11",
"System.Windows.DependencyObject.InvalidateSubProperty(class System.Windows.DependencyProperty)",1,1,"0,11","0,11",
"System.Windows.DependencyObject.UpdateEffectiveValue(valuetype System.Windows.EntryIndex,class System.Windows.DependencyProperty,class System.Windows.PropertyMetadata,valuetype System.Windows.EffectiveValueEntry,valuetype System.Windows.EffectiveValueEntry&,bool,bool,valuetype System.Windows.OperationType)",54,1,"5,68","0,11",
"System.Windows.DependencyProperty.get_IsStringType()",1,1,"0,11","0,11",
"System.Windows.DescendentsWalker`1._VisitNode(class System.Windows.DependencyObject,bool)",22,1,"2,32","0,11",
"System.Windows.EffectiveValueEntry.GetFlattenedEntry(valuetype System.Windows.RequestFlags)",2,1,"0,21","0,11",
"System.Windows.EventRoute.AddSource(object)",3,1,"0,32","0,11",
"System.Windows.EventRoute.PeekBranchSource()",1,1,"0,11","0,11",
"System.Windows.EventRoute.PopBranchNode()",1,1,"0,11","0,11",
"System.Windows.EventRoute.PushBranchNode(object,object)",1,1,"0,11","0,11",
