Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"System.ComponentModel.Composition.Hosting.TypeCatalog.get_PartsInternal()",34,0,"3,58","0,00",
"System.ComponentModel.Composition.Hosting.TypeCatalog.GetCandidateParts(class System.ComponentModel.Composition.Primitives.ImportDefinition)",6,0,"0,63","0,00",
"System.ComponentModel.Composition.Hosting.TypeCatalog.GetCandidateParts(string)",6,0,"0,63","0,00",
"System.ComponentModel.Composition.Hosting.TypeCatalog.GetEnumerator()",31,0,"3,26","0,00",
"System.ComponentModel.Composition.Hosting.TypeCatalog.InitializeTypeCatalog(class System.Collections.Generic.IEnumerable`1<class System.Type>)",1,0,"0,11","0,00",
"System.ComponentModel.Composition.Primitives.ComposablePartCatalog.GetExports(class System.ComponentModel.Composition.Primitives.ImportDefinition)",7,0,"0,74","0,00",
"System.ComponentModel.Composition.Primitives.ContractBasedImportDefinition.get_RequiredMetadata()",1,0,"0,11","0,00",
"System.ComponentModel.Composition.Primitives.ContractBasedImportDefinition.IsConstraintSatisfiedBy(class System.ComponentModel.Composition.Primitives.ExportDefinition)",1,0,"0,11","0,00",
"System.ComponentModel.Composition.Primitives.ContractBasedImportDefinition.MatchRequiredMetadata(class System.ComponentModel.Composition.Primitives.ExportDefinition)",1,0,"0,11","0,00",
"System.ComponentModel.Composition.Primitives.ContractBasedImportDefinition.ValidateRequiredMetadata()",1,0,"0,11","0,00",
"System.ComponentModel.Composition.Primitives.Export.get_Value()",2,0,"0,21","0,00",
"System.ComponentModel.Composition.ReflectionModel.ReflectionComposablePart.Activate()",2,0,"0,21","0,00",
"System.ComponentModel.Composition.ReflectionModel.ReflectionComposablePart.CreateInstance(class System.Reflection.ConstructorInfo,object[])",2,0,"0,21","0,00",
"System.ComponentModel.Composition.ReflectionModel.ReflectionComposablePart.GetInstanceActivatingIfNeeded()",2,0,"0,21","0,00",
"System.ComponentModel.Composition.ReflectionModel.ReflectionComposablePart.NotifyImportSatisfied()",2,0,"0,21","0,00",
"System.ComponentModel.Composition.ReflectionModel.ReflectionComposablePartDefinition.get_ExportDefinitions()",3,0,"0,32","0,00",
"System.ComponentModel.Composition.ReflectionModel.ReflectionComposablePartDefinition.get_ExportDefinitionsInternal()",3,0,"0,32","0,00",
"System.ComponentModel.Composition.ReflectionModel.ReflectionComposablePartDefinition.TryGetExports(class System.ComponentModel.Composition.Primitives.ImportDefinition,class System.Tuple`2<class System.ComponentModel.Composition.Primitives.ComposablePartDefinition,class System.ComponentModel.Composition.Primitives.ExportDefinition>&,class System.Collections.Generic.IEnumerable`1<class System.Tuple`2<class System.ComponentModel.Composition.Primitives.ComposablePartDefinition,class System.ComponentModel.Composition.Primitives.ExportDefinition>>&)",1,0,"0,11","0,00",
"System.ComponentModel.Composition.ReflectionModel.ReflectionComposablePartDefinition.TryGetNonGenericExports(class System.ComponentModel.Composition.Primitives.ImportDefinition,class System.Tuple`2<class System.ComponentModel.Composition.Primitives.ComposablePartDefinition,class System.ComponentModel.Composition.Primitives.ExportDefinition>&,class System.Collections.Generic.IEnumerable`1<class System.Tuple`2<class System.ComponentModel.Composition.Primitives.ComposablePartDefinition,class System.ComponentModel.Composition.Primitives.ExportDefinition>>&)",1,0,"0,11","0,00",
"System.Delegate.CreateDelegate(class System.Type,object,class System.Reflection.MethodInfo)",1,0,"0,11","0,00",
"System.Delegate.CreateDelegate(class System.Type,object,class System.Reflection.MethodInfo,bool)",1,0,"0,11","0,00",
"System.Delegate.CreateDelegateInternal(class System.RuntimeType,class System.Reflection.RuntimeMethodInfo,object,valuetype System.DelegateBindingFlags,valuetype System.Threading.StackCrawlMark&)",1,0,"0,11","0,00",
"System.Delegate.UnsafeCreateDelegate(class System.RuntimeType,class System.Reflection.RuntimeMethodInfo,object,valuetype System.DelegateBindingFlags)",1,0,"0,11","0,00",
"System.Double.Equals(object)",1,0,"0,11","0,00",
"System.IO.BinaryReader.Read7BitEncodedInt()",1,0,"0,11","0,00",
"System.IO.BinaryReader.ReadByte()",3,0,"0,32","0,00",
"System.IO.Directory.GetFiles(string,string,valuetype System.IO.SearchOption)",1,0,"0,11","0,00",
"System.IO.FileSystemEnumerableIterator`1..ctor(string,string,string,valuetype System.IO.SearchOption,class System.IO.SearchResultHandler`1<!0>,bool)",1,0,"0,11","0,00",
"System.IO.Packaging.Package.GetPart(class System.Uri)",1,0,"0,11","0,00",
"System.IO.Packaging.Package.GetPartHelper(class System.Uri)",1,0,"0,11","0,00",
"System.IO.Packaging.PackUriHelper.ValidatedPartUri.Compare(class System.IO.Packaging.PackUriHelper/ValidatedPartUri)",1,0,"0,11","0,00",
"System.IO.Packaging.PackUriHelper.ValidatedPartUri.System.IComparable<System.IO.Packaging.PackUriHelper.ValidatedPartUri>.CompareTo(class System.IO.Packaging.PackUriHelper/ValidatedPartUri)",1,0,"0,11","0,00",
"System.IO.Packaging.PackWebResponse.CachedResponse.GetResponseStream()",1,0,"0,11","0,00",
"System.IO.Packaging.PackWebResponse.get_ContentType()",1,0,"0,11","0,00",
"System.IO.Packaging.PackWebResponse.GetResponseStream()",1,0,"0,11","0,00",
"System.IO.Path.GetDirectoryName(string)",1,0,"0,11","0,00",
"System.Lazy`1.CreateValue()",8,0,"0,84","0,00",
"System.Lazy`1.get_Value()",8,0,"0,84","0,00",
"System.Lazy`1.LazyInitValue()",6,0,"0,63","0,00",
"System.Lazy`1.LazyInitValue()",2,0,"0,21","0,00",
"System.Linq.Enumerable.Any(class System.Collections.Generic.IEnumerable`1<!!0>)",48,0,"5,05","0,00",
"System.Linq.Enumerable.Any(class System.Collections.Generic.IEnumerable`1<!!0>,class System.Func`2<!!0,bool>)",2,0,"0,21","0,00",
"System.Linq.Enumerable.Any(class System.Collections.Generic.IEnumerable`1<!!0>,class System.Func`2<!!0,bool>)",1,0,"0,11","0,00",
"System.Linq.Enumerable.ToList(class System.Collections.Generic.IEnumerable`1<!!0>)",1,0,"0,11","0,00",
"System.Linq.Enumerable.WhereListIterator`1.MoveNext()",2,0,"0,21","0,00",
"System.Linq.EnumerableExecutor`1.Execute()",45,0,"4,74","0,00",
"System.Linq.EnumerableQuery`1.System.Linq.IQueryProvider.Execute(class System.Linq.Expressions.Expression)",45,0,"4,74","0,00",
"System.Linq.Queryable.Any(class System.Linq.IQueryable`1<!!0>)",45,0,"4,74","0,00",
"System.Math.Round(float64,int32,valuetype System.MidpointRounding)",3,0,"0,32","0,00",
"System.ModuleHandle.ResolveMethodHandleInternalCore(class System.Reflection.RuntimeModule,int32,native int[],int32,native int[],int32)",1,0,"0,11","0,00",
"System.Object.Equals(object,object)",1,0,"0,11","0,00",
"System.Reflection.Assembly.GetTypes()",13,0,"1,37","0,00",
"System.Reflection.Assembly.Load(class System.Reflection.AssemblyName)",1,0,"0,11","0,00",
"System.Reflection.AssemblyName..ctor(string)",1,0,"0,11","0,00",
"System.Reflection.Associates.AssignAssociates(int32,class System.RuntimeType,class System.RuntimeType)",1,0,"0,11","0,00",
"System.Reflection.Associates.AssignAssociates(valuetype System.Reflection.MetadataImport,int32,class System.RuntimeType,class System.RuntimeType,class System.Reflection.RuntimeMethodInfo&,class System.Reflection.RuntimeMethodInfo&,class System.Reflection.RuntimeMethodInfo&,class System.Reflection.RuntimeMethodInfo&,class System.Reflection.RuntimeMethodInfo&,class System.Reflection.MethodInfo[]&,bool&,valuetype System.Reflection.BindingFlags&)",2,0,"0,21","0,00",
"System.Reflection.CustomAttribute.IsCustomAttributeDefined(class System.Reflection.RuntimeModule,int32,class System.RuntimeType,int32,bool)",4,0,"0,42","0,00",
"System.Reflection.CustomAttribute.IsDefined(class System.Reflection.RuntimeFieldInfo,class System.RuntimeType)",1,0,"0,11","0,00",
"System.Reflection.CustomAttribute.IsDefined(class System.Reflection.RuntimeMethodInfo,class System.RuntimeType,bool)",1,0,"0,11","0,00",
"System.Reflection.CustomAttribute.IsDefined(class System.Reflection.RuntimePropertyInfo,class System.RuntimeType)",2,0,"0,21","0,00",
"System.Reflection.RuntimeAssembly.InternalGetSatelliteAssembly(string,class System.Globalization.CultureInfo,class System.Version,bool,valuetype System.Threading.StackCrawlMark&)",1,0,"0,11","0,00",
"System.Reflection.RuntimeAssembly.InternalLoadAssemblyName(class System.Reflection.AssemblyName,class System.Security.Policy.Evidence,class System.Reflection.RuntimeAssembly,valuetype System.Threading.StackCrawlMark&,native int,bool,bool,bool)",1,0,"0,11","0,00",
"System.Reflection.RuntimeAssembly.nLoad(class System.Reflection.AssemblyName,string,class System.Security.Policy.Evidence,class System.Reflection.RuntimeAssembly,valuetype System.Threading.StackCrawlMark&,native int,bool,bool,bool)",1,0,"0,11","0,00",
"System.Reflection.RuntimeConstructorInfo.Invoke(valuetype System.Reflection.BindingFlags,class System.Reflection.Binder,object[],class System.Globalization.CultureInfo)",2,0,"0,21","0,00",
"System.Reflection.RuntimeFieldInfo.IsDefined(class System.Type,bool)",1,0,"0,11","0,00",
"System.Reflection.RuntimeModule.GetTypes()",13,0,"1,37","0,00",
"System.Reflection.RuntimePropertyInfo..ctor(int32,class System.RuntimeType,class System.RuntimeType/RuntimeTypeCache,bool&)",3,0,"0,32","0,00",
"System.Reflection.RuntimePropertyInfo.get_Signature()",1,0,"0,11","0,00",
"System.Reflection.RuntimePropertyInfo.IsDefined(class System.Type,bool)",2,0,"0,21","0,00",
"System.Resources.ManifestBasedResourceGroveler.GetSatelliteAssembly(class System.Globalization.CultureInfo,valuetype System.Threading.StackCrawlMark&)",1,0,"0,11","0,00",
"System.Resources.ManifestBasedResourceGroveler.GrovelForResourceSet(class System.Globalization.CultureInfo,class System.Collections.Generic.Dictionary`2<string,class System.Resources.ResourceSet>,bool,bool,valuetype System.Threading.StackCrawlMark&)",1,0,"0,11","0,00",
"System.Resources.ResourceManager.GetString(string,class System.Globalization.CultureInfo)",2,0,"0,21","0,00",
"System.Resources.ResourceManager.InternalGetResourceSet(class System.Globalization.CultureInfo,bool,bool)",1,0,"0,11","0,00",
"System.Resources.ResourceManager.InternalGetResourceSet(class System.Globalization.CultureInfo,bool,bool,valuetype System.Threading.StackCrawlMark&)",1,0,"0,11","0,00",
"System.Resources.ResourceReader.CompareStringEqualsName(string)",1,0,"0,11","0,00",
"System.Resources.ResourceReader.FindPosForResource(string)",1,0,"0,11","0,00",
"System.Resources.RuntimeResourceSet.GetObject(string,bool,bool)",1,0,"0,11","0,00",
"System.Resources.RuntimeResourceSet.GetString(string,bool)",1,0,"0,11","0,00",
"System.Runtime.InteropServices.CriticalHandle.Cleanup()",1,0,"0,11","0,00",
"System.Runtime.InteropServices.CriticalHandle.Dispose(bool)",1,0,"0,11","0,00",
"System.Runtime.InteropServices.CriticalHandle.Finalize()",1,0,"0,11","0,00",
"System.Runtime.InteropServices.Marshal.ReleaseComObject(object)",1,0,"0,11","0,00",
"System.RuntimeType.CreateInstanceDefaultCtor(bool,bool,bool,valuetype System.Threading.StackCrawlMark&)",12,0,"1,26","0,00",
"System.RuntimeType.CreateInstanceImpl(valuetype System.Reflection.BindingFlags,class System.Reflection.Binder,object[],class System.Globalization.CultureInfo,object[],valuetype System.Threading.StackCrawlMark&)",12,0,"1,26","0,00",
"System.RuntimeType.CreateInstanceSlow(bool,bool,bool,valuetype System.Threading.StackCrawlMark&)",12,0,"1,26","0,00",
"System.RuntimeType.get_Assembly()",1,0,"0,11","0,00",
"System.RuntimeType.get_BaseType()",2,0,"0,21","0,00",
"System.RuntimeType.GetBaseType()",2,0,"0,21","0,00",
"System.RuntimeType.GetFieldCandidates(string,valuetype System.Reflection.BindingFlags,bool)",1,0,"0,11","0,00",
"System.RuntimeType.GetFields(valuetype System.Reflection.BindingFlags)",1,0,"0,11","0,00",
"System.RuntimeType.GetHashCode()",1,0,"0,11","0,00",
"System.RuntimeType.GetMethodCandidates(string,valuetype System.Reflection.BindingFlags,valuetype System.Reflection.CallingConventions,class System.Type[],bool)",18,0,"1,89","0,00",
"System.RuntimeType.GetMethods(valuetype System.Reflection.BindingFlags)",18,0,"1,89","0,00",
"System.RuntimeType.GetProperties(valuetype System.Reflection.BindingFlags)",12,0,"1,26","0,00",
"System.RuntimeType.GetPropertyCandidates(string,valuetype System.Reflection.BindingFlags,class System.Type[],bool)",13,0,"1,37","0,00",
"System.RuntimeType.GetPropertyImpl(string,valuetype System.Reflection.BindingFlags,class System.Reflection.Binder,class System.Type,class System.Type[],valuetype System.Reflection.ParameterModifier[])",1,0,"0,11","0,00",
"System.RuntimeType.ListBuilder`1.Add(!0)",1,0,"0,11","0,00",
"System.RuntimeType.RuntimeTypeCache.MemberInfoCache`1.GetListByName(char*,int32,uint8*,int32,valuetype System.RuntimeType/MemberListType,valuetype System.RuntimeType/RuntimeTypeCache/CacheType)",16,0,"1,68","0,00",
"System.RuntimeType.RuntimeTypeCache.MemberInfoCache`1.GetMemberList(valuetype System.RuntimeType/MemberListType,string,valuetype System.RuntimeType/RuntimeTypeCache/CacheType)",32,0,"3,37","0,00",
"System.RuntimeType.RuntimeTypeCache.MemberInfoCache`1.Insert(!0[]&,string,valuetype System.RuntimeType/MemberListType)",16,0,"1,68","0,00",
"System.RuntimeType.RuntimeTypeCache.MemberInfoCache`1.Populate(string,valuetype System.RuntimeType/MemberListType,valuetype System.RuntimeType/RuntimeTypeCache/CacheType)",32,0,"3,37","0,00",
"System.RuntimeType.RuntimeTypeCache.MemberInfoCache`1.PopulateFields(valuetype System.RuntimeType/RuntimeTypeCache/Filter)",1,0,"0,11","0,00",
"System.RuntimeType.RuntimeTypeCache.MemberInfoCache`1.PopulateLiteralFields(valuetype System.RuntimeType/RuntimeTypeCache/Filter,class System.RuntimeType,valuetype System.RuntimeType/ListBuilder`1<class System.Reflection.RuntimeFieldInfo>&)",1,0,"0,11","0,00",
"System.RuntimeType.RuntimeTypeCache.MemberInfoCache`1.PopulateMethods(valuetype System.RuntimeType/RuntimeTypeCache/Filter)",1,0,"0,11","0,00",
"System.RuntimeType.RuntimeTypeCache.MemberInfoCache`1.PopulateProperties(valuetype System.RuntimeType/RuntimeTypeCache/Filter)",13,0,"1,37","0,00",
"System.RuntimeType.RuntimeTypeCache.MemberInfoCache`1.PopulateProperties(valuetype System.RuntimeType/RuntimeTypeCache/Filter,class System.RuntimeType,class System.Collections.Generic.Dictionary`2<string,class System.Collections.Generic.List`1<class System.Reflection.RuntimePropertyInfo>>,bool[],valuetype System.RuntimeType/ListBuilder`1<class System.Reflection.RuntimePropertyInfo>&)",13,0,"1,37","0,00",
"System.Security.CodeAccessPermission.RevertAssert()",1,0,"0,11","0,00",
"System.Security.SecurityContext.CurrentlyInDefaultFTSecurityContext(valuetype System.Threading.ExecutionContext/Reader)",1,0,"0,11","0,00",
"System.Security.SecurityRuntime.RevertAssert(valuetype System.Threading.StackCrawlMark&)",1,0,"0,11","0,00",
"System.String.CompareOrdinal(string,string)",1,0,"0,11","0,00",
"System.String.InternalSubString(int32,int32,bool)",1,0,"0,11","0,00",
"System.String.InternalSubStringWithChecks(int32,int32,bool)",1,0,"0,11","0,00",
"System.StubHelpers.StubHelpers.SafeHandleRelease(class System.Runtime.InteropServices.SafeHandle)",1,0,"0,11","0,00",
"System.Threading.ExecutionContext.Capture()",2,0,"0,21","0,00",
"System.Threading.ExecutionContext.Run(class System.Threading.ExecutionContext,class System.Threading.ContextCallback,object)",156,0,"16,42","0,00",
"System.Threading.ExecutionContext.Run(class System.Threading.ExecutionContext,class System.Threading.ContextCallback,object,bool)",156,0,"16,42","0,00",
"System.Threading.ExecutionContext.RunInternal(class System.Threading.ExecutionContext,class System.Threading.ContextCallback,object,bool)",156,0,"16,42","0,00",
"System.Threading.ExecutionContext.SetExecutionContext(class System.Threading.ExecutionContext,bool)",1,0,"0,11","0,00",
"System.Threading.LazyInitializer.EnsureInitialized(!!0&,class System.Func`1<!!0>)",1,0,"0,11","0,00",
"System.Threading.LazyInitializer.EnsureInitializedCore(!!0&,class System.Func`1<!!0>)",1,0,"0,11","0,00",
"System.Threading.SynchronizationContext.SetSynchronizationContext(class System.Threading.SynchronizationContext)",2,0,"0,21","0,00",
"System.Threading.SynchronizationContext.SetWaitNotificationRequired()",1,0,"0,11","0,00",
"System.Threading.Tasks.ContinuationTaskFromResultTask`1.InnerInvoke()",6,0,"0,63","0,00",
"System.Threading.Tasks.SynchronizationContextTaskScheduler.PostCallback(object)",18,0,"1,89","0,00",
"System.Threading.Tasks.Task.Execute()",18,0,"1,89","0,00",
"System.Threading.Tasks.Task.ExecuteEntry(bool)",18,0,"1,89","0,00",
"System.Threading.Tasks.Task.ExecuteWithThreadLocal(class System.Threading.Tasks.Task&)",18,0,"1,89","0,00",
"System.Threading.Tasks.Task.ExecutionContextCallback(object)",18,0,"1,89","0,00",
"System.Threading.Tasks.Task.RecordInternalCancellationRequest(valuetype System.Threading.CancellationToken)",1,0,"0,11","0,00",
"System.Threading.Tasks.Task`1.InnerInvoke()",12,0,"1,26","0,00",
"System.Threading.Tasks.Task`1.TrySetCanceled(valuetype System.Threading.CancellationToken,object)",1,0,"0,11","0,00",
"System.Threading.Tasks.TaskCompletionSource`1..ctor(object,valuetype System.Threading.Tasks.TaskCreationOptions)",1,0,"0,11","0,00",
"System.Threading.Tasks.TaskCompletionSource`1.TrySetCanceled(valuetype System.Threading.CancellationToken)",1,0,"0,11","0,00",
"System.Threading.Thread.GetData(class System.LocalDataStoreSlot)",1,0,"0,11","0,00",
"System.Type.GetProperty(string,valuetype System.Reflection.BindingFlags)",1,0,"0,11","0,00",
"System.Windows.Application.InvalidateResourceReferenceOnWindowCollection(class System.Windows.WindowCollection,valuetype System.Windows.ResourcesChangeInfo)",7,0,"0,74","0,00",
"System.Windows.Application.IsComponentBeingLoadedFromOuterLoadBaml(class System.Uri)",1,0,"0,11","0,00",
"System.Windows.Application.LoadBamlStreamWithSyncInfo(class System.IO.Stream,class System.Windows.Markup.ParserContext)",12,0,"1,26","0,00",
"System.Windows.Application.LoadComponent(class System.Uri)",12,0,"1,26","0,00",
"System.Windows.Application.LoadComponent(class System.Uri,bool)",12,0,"1,26","0,00",
"System.Windows.Application.LoadComponent(object,class System.Uri)",3,0,"0,32","0,00",
"System.Windows.Application.Run()",516,0,"54,32","0,00",
"System.Windows.Application.Run(class System.Windows.Window)",516,0,"54,32","0,00",
"System.Windows.Application.RunDispatcher(object)",516,0,"54,32","0,00",
"System.Windows.Application.RunInternal(class System.Windows.Window)",516,0,"54,32","0,00",
"System.Windows.Baml2006.Baml2006Reader.Process_BamlRecords()",1,0,"0,11","0,00",
"System.Windows.Baml2006.Baml2006Reader.Process_OneBamlRecord()",2,0,"0,21","0,00",
"System.Windows.Baml2006.Baml2006Reader.Process_PropertyWithConverter()",1,0,"0,11","0,00",
"System.Windows.Baml2006.Baml2006Reader.Read()",1,0,"0,11","0,00",
"System.Windows.Baml2006.Baml2006Reader.ReadObject(class System.Windows.Baml2006.KeyRecord)",2,0,"0,21","0,00",
"System.Windows.Baml2006.Baml2006SchemaContext.GetProperty(int16,class System.Xaml.XamlType)",1,0,"0,11","0,00",
"System.Windows.Baml2006.SharedStream.ReadByte()",1,0,"0,11","0,00",
"System.Windows.Baml2006.WpfKnownMemberInvoker.SetValue(object,object)",2,0,"0,21","0,00",
"System.Windows.Baml2006.WpfSharedBamlSchemaContext.<Create_BamlProperty_FrameworkTemplate_Template>b__128(object,object)",1,0,"0,11","0,00",
"System.Windows.Baml2006.WpfSharedBamlSchemaContext.<Create_BamlProperty_ResourceDictionary_Source>b__1c4(object,object)",1,0,"0,11","0,00",
"System.Windows.BroadcastEventHelper.BroadcastLoadedEvent(object)",1,0,"0,11","0,00",
"System.Windows.BroadcastEventHelper.RemoveLoadedCallback(class System.Windows.DependencyObject,object[])",1,0,"0,11","0,00",
"System.Windows.ContentElement.RaiseTrustedEvent(class System.Windows.RoutedEventArgs)",1,0,"0,11","0,00",
"System.Windows.ContextLayoutManager.fireLayoutUpdateEvent()",2,0,"0,21","0,00",
"System.Windows.ContextLayoutManager.fireSizeChangedEvents()",1,0,"0,11","0,00",
"System.Windows.ContextLayoutManager.LayoutQueue.Add(class System.Windows.UIElement)",1,0,"0,11","0,00",
"System.Windows.ContextLayoutManager.NeedsRecalc()",1,0,"0,11","0,00",
"System.Windows.ContextLayoutManager.UpdateLayout()",49,0,"5,16","0,00",
"System.Windows.ContextLayoutManager.UpdateLayoutCallback(object)",45,0,"4,74","0,00",
"System.Windows.Controls.Border.ArrangeOverride(valuetype System.Windows.Size)",16,0,"1,68","0,00",
"System.Windows.Controls.Border.MeasureOverride(valuetype System.Windows.Size)",13,0,"1,37","0,00",
"System.Windows.Controls.Button.OnClick()",164,0,"17,26","0,00",
"System.Windows.Controls.ContentControl.OnContentChanged(class System.Windows.DependencyObject,valuetype System.Windows.DependencyPropertyChangedEventArgs)",14,0,"1,47","0,00",
"System.Windows.Controls.ContentControl.OnContentChanged(object,object)",7,0,"0,74","0,00",
"System.Windows.Controls.ContentPresenter.ArrangeOverride(valuetype System.Windows.Size)",21,0,"2,21","0,00",
"System.Windows.Controls.ContentPresenter.ChooseTemplate()",1,0,"0,11","0,00",
"System.Windows.Controls.ContentPresenter.DefaultSelector.SelectTemplate(object,class System.Windows.DependencyObject)",1,0,"0,11","0,00",
"System.Windows.Controls.ContentPresenter.EnsureTemplate()",1,0,"0,11","0,00",
"System.Windows.Controls.ContentPresenter.MeasureOverride(valuetype System.Windows.Size)",13,0,"1,37","0,00",
"System.Windows.Controls.ContentPresenter.OnContentChanged(class System.Windows.DependencyObject,valuetype System.Windows.DependencyPropertyChangedEventArgs)",11,0,"1,16","0,00",
"System.Windows.Controls.ContentPresenter.OnPreApplyTemplate()",1,0,"0,11","0,00",
"System.Windows.Controls.ContentPresenter.OnTemplateChanged(class System.Windows.DependencyObject,valuetype System.Windows.DependencyPropertyChangedEventArgs)",11,0,"1,16","0,00",
"System.Windows.Controls.ContentPresenter.UseContentTemplate.BuildVisualTree(class System.Windows.FrameworkElement)",6,0,"0,63","0,00",
"System.Windows.Controls.Control.ArrangeOverride(valuetype System.Windows.Size)",22,0,"2,32","0,00",
"System.Windows.Controls.Control.MeasureOverride(valuetype System.Windows.Size)",14,0,"1,47","0,00",
"System.Windows.Controls.Control.UpdateVisualState(bool)",1,0,"0,11","0,00",
"System.Windows.Controls.Decorator.MeasureOverride(valuetype System.Windows.Size)",1,0,"0,11","0,00",
"System.Windows.Controls.Grid.ArrangeOverride(valuetype System.Windows.Size)",21,0,"2,21","0,00",
"System.Windows.Controls.Grid.GetVisualChild(int32)",1,0,"0,11","0,00",
"System.Windows.Controls.Grid.MeasureCell(int32,bool)",13,0,"1,37","0,00",
"System.Windows.Controls.Grid.MeasureCellsGroup(int32,valuetype System.Windows.Size,bool,bool)",13,0,"1,37","0,00",
"System.Windows.Controls.Grid.MeasureCellsGroup(int32,valuetype System.Windows.Size,bool,bool,bool&)",13,0,"1,37","0,00",
"System.Windows.Controls.Grid.MeasureOverride(valuetype System.Windows.Size)",23,0,"2,42","0,00",
"System.Windows.Controls.ItemCollection.OnViewCollectionChanged(object,class System.Collections.Specialized.NotifyCollectionChangedEventArgs)",1,0,"0,11","0,00",
"System.Windows.Controls.ItemCollection.SetCollectionView(class System.Windows.Data.CollectionView)",1,0,"0,11","0,00",
"System.Windows.Controls.ItemCollection.SetItemsSource(class System.Collections.IEnumerable,class System.Func`2<object,object>)",1,0,"0,11","0,00",
"System.Windows.Controls.ItemsControl.EndInit()",2,0,"0,21","0,00",
"System.Windows.Controls.ItemsControl.OnItemCollectionChanged2(object,class System.Collections.Specialized.NotifyCollectionChangedEventArgs)",1,0,"0,11","0,00",
"System.Windows.Controls.ItemsControl.OnItemsSourceChanged(class System.Windows.DependencyObject,valuetype System.Windows.DependencyPropertyChangedEventArgs)",1,0,"0,11","0,00",
"System.Windows.Controls.ItemsControl.set_ItemsSource(class System.Collections.IEnumerable)",1,0,"0,11","0,00",
"System.Windows.Controls.ItemsPresenter.ArrangeOverride(valuetype System.Windows.Size)",5,0,"0,53","0,00",
"System.Windows.Controls.ItemsPresenter.MeasureOverride(valuetype System.Windows.Size)",3,0,"0,32","0,00",
"System.Windows.Controls.ListBox.NotifyListItemClicked(class System.Windows.Controls.ListBoxItem,valuetype System.Windows.Input.MouseButton)",7,0,"0,74","0,00",
"System.Windows.Controls.ListBox.OnMouseButtonUp(object,class System.Windows.Input.MouseButtonEventArgs)",2,0,"0,21","0,00",
"System.Windows.Controls.ListBox.OnSelectionChanged(class System.Windows.Controls.SelectionChangedEventArgs)",1,0,"0,11","0,00",
"System.Windows.Controls.ListBoxItem.HandleMouseButtonDown(valuetype System.Windows.Input.MouseButton)",8,0,"0,84","0,00",
"System.Windows.Controls.ListBoxItem.OnIsSelectedChanged(class System.Windows.DependencyObject,valuetype System.Windows.DependencyPropertyChangedEventArgs)",7,0,"0,74","0,00",
"System.Windows.Controls.ListBoxItem.OnMouseLeftButtonDown(class System.Windows.Input.MouseButtonEventArgs)",8,0,"0,84","0,00",
"System.Windows.Controls.ListBoxItem.OnSelected(class System.Windows.RoutedEventArgs)",7,0,"0,74","0,00",
"System.Windows.Controls.ListBoxItem.OnVisualParentChanged(class System.Windows.DependencyObject)",2,0,"0,21","0,00",
"System.Windows.Controls.ListView.OnItemsChanged(class System.Collections.Specialized.NotifyCollectionChangedEventArgs)",1,0,"0,11","0,00",
"System.Windows.Controls.Panel.EnsureGenerator()",1,0,"0,11","0,00",
"System.Windows.Controls.Panel.GenerateChildren()",1,0,"0,11","0,00",
"System.Windows.Controls.Panel.get_InternalChildren()",1,0,"0,11","0,00",
"System.Windows.Controls.Panel.GetVisualChild(int32)",2,0,"0,21","0,00",
"System.Windows.Controls.PopupControlService.InspectElementForToolTip(class System.Windows.DependencyObject)",3,0,"0,32","0,00",
"System.Windows.Controls.PopupControlService.OnMouseMove(class System.Windows.IInputElement,valuetype System.Windows.Point)",4,0,"0,42","0,00",
"System.Windows.Controls.PopupControlService.OnPostProcessInput(object,class System.Windows.Input.ProcessInputEventArgs)",12,0,"1,26","0,00",
"System.Windows.Controls.PopupControlService.OnRaiseToolTipOpeningEvent(object,class System.EventArgs)",3,0,"0,32","0,00",
"System.Windows.Controls.PopupControlService.RaiseToolTipOpeningEvent()",5,0,"0,53","0,00",
"System.Windows.Controls.Primitives.ButtonBase.OnCanExecuteChanged(object,class System.EventArgs)",9,0,"0,95","0,00",
"System.Windows.Controls.Primitives.ButtonBase.OnClick()",164,0,"17,26","0,00",
"System.Windows.Controls.Primitives.ButtonBase.OnLostMouseCapture(class System.Windows.Input.MouseEventArgs)",1,0,"0,11","0,00",
"System.Windows.Controls.Primitives.ButtonBase.OnMouseLeftButtonDown(class System.Windows.Input.MouseButtonEventArgs)",1,0,"0,11","0,00",
"System.Windows.Controls.Primitives.ButtonBase.OnMouseLeftButtonUp(class System.Windows.Input.MouseButtonEventArgs)",166,0,"17,47","0,00",
"System.Windows.Controls.Primitives.ButtonBase.OnRenderSizeChanged(class System.Windows.SizeChangedInfo)",1,0,"0,11","0,00",
"System.Windows.Controls.Primitives.ButtonBase.UpdateCanExecute()",9,0,"0,95","0,00",
"System.Windows.Controls.Primitives.Popup.CreateRootPopup(class System.Windows.Controls.Primitives.Popup,class System.Windows.UIElement)",4,0,"0,42","0,00",
"System.Windows.Controls.Primitives.Popup.CreateWindow(bool)",4,0,"0,42","0,00",
"System.Windows.Controls.Primitives.Popup.OnIsOpenChanged(class System.Windows.DependencyObject,valuetype System.Windows.DependencyPropertyChangedEventArgs)",4,0,"0,42","0,00",
"System.Windows.Controls.Primitives.Popup.SetRootVisualToPopupRoot()",4,0,"0,42","0,00",
