Level,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,Module Name,
83,"System.ComponentModel.Composition.AttributedModel.AttributedModelDiscovery.CreatePartDefinitionIfDiscoverable(class System.Type,class System.ComponentModel.Composition.Primitives.ICompositionElement)",31,0,"3,26","0,00","System.ComponentModel.Composition.ni.dll",
84,"System.ComponentModel.Composition.AttributedModel.AttributedPartCreationInfo.IsPartDiscoverable()",31,0,"3,26","0,00","System.ComponentModel.Composition.ni.dll",
85,"System.ComponentModel.Composition.AttributedModel.AttributedPartCreationInfo.HasExports()",31,0,"3,26","0,00","System.ComponentModel.Composition.ni.dll",
86,"System.Linq.Enumerable.Any(class System.Collections.Generic.IEnumerable`1<!!0>)",31,0,"3,26","0,00","System.Core.dll",
87,"System.ComponentModel.Composition.AttributedModel.AttributedPartCreationInfo.<GetExportMembers>d__0.MoveNext()",31,0,"3,26","0,00","System.ComponentModel.Composition.ni.dll",
88,"System.RuntimeType.GetMethods(valuetype System.Reflection.BindingFlags)",15,0,"1,58","0,00","mscorlib.dll",
89,"System.RuntimeType.GetMethodCandidates(string,valuetype System.Reflection.BindingFlags,valuetype System.Reflection.CallingConventions,class System.Type[],bool)",15,0,"1,58","0,00","mscorlib.dll",
90,"System.RuntimeType.RuntimeTypeCache.MemberInfoCache`1.GetMemberList(valuetype System.RuntimeType/MemberListType,string,valuetype System.RuntimeType/RuntimeTypeCache/CacheType)",15,0,"1,58","0,00","mscorlib.dll",
91,"System.RuntimeType.RuntimeTypeCache.MemberInfoCache`1.Populate(string,valuetype System.RuntimeType/MemberListType,valuetype System.RuntimeType/RuntimeTypeCache/CacheType)",15,0,"1,58","0,00","mscorlib.dll",
92,"System.RuntimeType.RuntimeTypeCache.MemberInfoCache`1.Insert(!0[]&,string,valuetype System.RuntimeType/MemberListType)",13,0,"1,37","0,00","mscorlib.dll",
93,"System.RuntimeType.RuntimeTypeCache.MemberInfoCache`1.MergeWithGlobalList(!0[])",13,6,"1,37","0,63","mscorlib.dll",
94,"System.Reflection.RuntimeMethodInfo.CacheEquals(object)",4,4,"0,42","0,42","mscorlib.dll",
94,"System.Reflection.MemberInfo.op_Equality(class System.Reflection.MemberInfo,class System.Reflection.MemberInfo)",3,3,"0,32","0,32","mscorlib.dll",
92,"System.RuntimeType.RuntimeTypeCache.MemberInfoCache`1.GetListByName(char*,int32,uint8*,int32,valuetype System.RuntimeType/MemberListType,valuetype System.RuntimeType/RuntimeTypeCache/CacheType)",2,0,"0,21","0,00","mscorlib.dll",
93,"System.RuntimeType.RuntimeTypeCache.MemberInfoCache`1.PopulateMethods(valuetype System.RuntimeType/RuntimeTypeCache/Filter)",1,0,"0,11","0,00","mscorlib.dll",
94,"System.RuntimeType.ListBuilder`1.Add(!0)",1,0,"0,11","0,00","mscorlib.dll",
95,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
96,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
97,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
98,"[clr.dll]",1,1,"0,11","0,11","clr.dll",
93,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
94,"[clr.dll]",1,1,"0,11","0,11","clr.dll",
88,"System.RuntimeType.GetProperties(valuetype System.Reflection.BindingFlags)",12,0,"1,26","0,00","mscorlib.dll",
89,"System.RuntimeType.GetPropertyCandidates(string,valuetype System.Reflection.BindingFlags,class System.Type[],bool)",12,0,"1,26","0,00","mscorlib.dll",
90,"System.RuntimeType.RuntimeTypeCache.MemberInfoCache`1.GetMemberList(valuetype System.RuntimeType/MemberListType,string,valuetype System.RuntimeType/RuntimeTypeCache/CacheType)",12,0,"1,26","0,00","mscorlib.dll",
91,"System.RuntimeType.RuntimeTypeCache.MemberInfoCache`1.Populate(string,valuetype System.RuntimeType/MemberListType,valuetype System.RuntimeType/RuntimeTypeCache/CacheType)",12,0,"1,26","0,00","mscorlib.dll",
92,"System.RuntimeType.RuntimeTypeCache.MemberInfoCache`1.GetListByName(char*,int32,uint8*,int32,valuetype System.RuntimeType/MemberListType,valuetype System.RuntimeType/RuntimeTypeCache/CacheType)",12,0,"1,26","0,00","mscorlib.dll",
93,"System.RuntimeType.RuntimeTypeCache.MemberInfoCache`1.PopulateProperties(valuetype System.RuntimeType/RuntimeTypeCache/Filter)",12,0,"1,26","0,00","mscorlib.dll",
94,"System.RuntimeType.RuntimeTypeCache.MemberInfoCache`1.PopulateProperties(valuetype System.RuntimeType/RuntimeTypeCache/Filter,class System.RuntimeType,class System.Collections.Generic.Dictionary`2<string,class System.Collections.Generic.List`1<class System.Reflection.RuntimePropertyInfo>>,bool[],valuetype System.RuntimeType/ListBuilder`1<class System.Reflection.RuntimePropertyInfo>&)",12,0,"1,26","0,00","mscorlib.dll",
95,"[clr.dll]",7,0,"0,74","0,00","clr.dll",
96,"[clr.dll]",7,0,"0,74","0,00","clr.dll",
97,"[clr.dll]",7,2,"0,74","0,21","clr.dll",
98,"[clr.dll]",5,0,"0,53","0,00","clr.dll",
99,"[clr.dll]",5,4,"0,53","0,42","clr.dll",
100,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
101,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
102,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
103,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
104,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
105,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
106,"[clr.dll]",1,1,"0,11","0,11","clr.dll",
95,"System.Reflection.RuntimePropertyInfo..ctor(int32,class System.RuntimeType,class System.RuntimeType/RuntimeTypeCache,bool&)",3,0,"0,32","0,00","mscorlib.dll",
96,"System.Reflection.Associates.AssignAssociates(valuetype System.Reflection.MetadataImport,int32,class System.RuntimeType,class System.RuntimeType,class System.Reflection.RuntimeMethodInfo&,class System.Reflection.RuntimeMethodInfo&,class System.Reflection.RuntimeMethodInfo&,class System.Reflection.RuntimeMethodInfo&,class System.Reflection.RuntimeMethodInfo&,class System.Reflection.MethodInfo[]&,bool&,valuetype System.Reflection.BindingFlags&)",2,0,"0,21","0,00","mscorlib.dll",
97,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
98,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
99,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
100,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
101,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
102,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
103,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
104,"[clr.dll]",1,1,"0,11","0,11","clr.dll",
97,"System.Reflection.Associates.AssignAssociates(int32,class System.RuntimeType,class System.RuntimeType)",1,0,"0,11","0,00","mscorlib.dll",
98,"System.ModuleHandle.ResolveMethodHandleInternalCore(class System.Reflection.RuntimeModule,int32,native int[],int32,native int[],int32)",1,0,"0,11","0,00","mscorlib.dll",
99,"[mscorlib.dll]",1,0,"0,11","0,00","mscorlib.dll",
100,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
101,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
102,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
103,"[clr.dll]",1,1,"0,11","0,11","clr.dll",
96,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
97,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
98,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
99,"[clr.dll]",1,1,"0,11","0,11","clr.dll",
95,"System.Reflection.RuntimePropertyInfo.get_Name()",1,1,"0,11","0,11","mscorlib.dll",
95,"System.Reflection.RuntimePropertyInfo.get_Signature()",1,0,"0,11","0,00","mscorlib.dll",
96,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
97,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
98,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
99,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
100,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
101,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
102,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
103,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
104,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
105,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
106,"[clr.dll]",1,1,"0,11","0,11","clr.dll",
88,"System.Reflection.RuntimeMethodInfo.IsDefined(class System.Type,bool)",2,1,"0,21","0,11","mscorlib.dll",
89,"System.Reflection.CustomAttribute.IsDefined(class System.Reflection.RuntimeMethodInfo,class System.RuntimeType,bool)",1,0,"0,11","0,00","mscorlib.dll",
90,"System.Reflection.CustomAttribute.IsCustomAttributeDefined(class System.Reflection.RuntimeModule,int32,class System.RuntimeType,int32,bool)",1,0,"0,11","0,00","mscorlib.dll",
91,"System.Reflection.CustomAttributeData.GetCustomAttributeRecords(class System.Reflection.RuntimeModule,int32)",1,0,"0,11","0,00","mscorlib.dll",
92,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
93,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
